epsilon,baseline_accuracy,permutation_accuracy
0.01,0.0010660980810234541,0.0010660980810234541
0.01,0.0021321961620469083,0.0021321961620469083
0.01,0.0031982942430703624,0.0031982942430703624
0.01,0.0042643923240938165,0.0042643923240938165
0.01,0.005330490405117271,0.005330490405117271
0.01,0.006396588486140725,0.006396588486140725
0.01,0.007462686567164179,0.007462686567164179
0.01,0.008528784648187633,0.008528784648187633
0.01,0.009594882729211088,0.009594882729211088
0.01,0.010660980810234541,0.010660980810234541
0.01,0.011727078891257996,0.011727078891257996
0.01,0.01279317697228145,0.01279317697228145
